Instância,FFF,HFF,GRASP_FFF_FI,GRASP_HFF_FI,GRASP_FFF_BI,GRASP_HFF_BI,PLI
in/1.json,0.0000,0.0000,38.23,42.64,71.60,70.53,1.58
in/3.json,0.0010,0.0000,11.17,3.26,11.24,3.66,600.02
in/4.json,0.0008,0.0000,18.94,6.95,18.66,10.48,600.08
in/5.json,0.0000,N/A,N/A,N/A,N/A,N/A,0.04
in/6.json,0.0010,0.0000,27.89,3.49,27.26,3.50,600.14
in/7.json,0.0000,0.0000,26.90,3.51,26.90,3.69,600.14
in/10.json,0.0000,0.0000,54.80,50.28,110.85,89.78,0.99
in/20.json,0.0042,0.0000,251.63,223.66,546.52,515.20,600.36
in/21.json,0.0459,0.0000,600.00,130.31,600.00,284.72,0.0
in/40.json,0.0010,0.0000,600.01,600.00,600.00,600.00,600.69
in/60.json,0.0010,0.0000,6.67,2.60,6.66,2.75,1.11
in/70.json,0.0523,0.0000,600.00,195.38,600.00,445.83,0.0
in/100.json,0.0030,0.0000,600.00,363.08,600.00,600.00,609.62
in/140.json,0.0010,0.0000,600.00,600.00,600.00,600.00,600.84
in/200.json,0.0134,0.0000,600.01,513.50,600.00,600.00,0.0
in/250.json,0.0010,0.0010,600.01,600.00,600.00,600.01,0.0
in/490.json,0.0010,0.0000,600.01,600.01,600.01,600.00,600.74
in/491.json,0.0010,0.0010,600.00,600.00,600.00,600.02,0.0
in/492.json,0.0138,0.0000,600.00,600.00,600.00,600.01,0.0
in/493.json,0.0113,0.0010,600.01,600.01,600.00,600.00,0.0
in/494.json,0.0035,0.0000,600.00,600.00,600.00,600.00,0.0
in/495.json,0.0010,0.0015,600.00,600.00,600.00,600.00,0.0
in/496.json,0.0010,0.0000,600.00,600.00,600.00,600.00,0.0
in/497.json,0.0010,0.0000,600.00,600.00,600.00,600.01,0.0
in/498.json,0.0010,0.0000,600.00,600.00,600.00,600.00,0.0
in/499.json,0.0010,0.0010,600.00,600.00,600.00,600.00,0.0
in/500.json,0.0010,0.0010,600.00,600.00,600.00,600.00,0.0
in/650.json,1.3092,0.0614,600.00,600.00,600.01,600.02,0.0
in/700.json,0.2241,0.0318,600.02,600.01,600.01,600.04,0.0
in/701.json,0.4309,0.0475,600.01,600.01,600.01,600.03,0.0
in/702.json,0.2850,0.0335,600.01,600.01,600.01,600.01,0.0
in/703.json,0.3987,0.0297,600.02,600.03,600.01,600.01,0.0
in/704.json,0.3165,0.0320,600.00,600.01,600.01,600.01,0.0
in/705.json,0.2880,0.0315,600.09,600.01,600.01,600.01,0.0
in/706.json,1.1829,0.0640,600.00,600.02,600.00,600.02,0.0
in/707.json,0.1898,0.0318,600.00,600.00,600.01,600.01,0.0
in/708.json,0.5568,0.0317,600.00,600.01,600.00,600.01,0.0
in/709.json,0.2037,0.0320,600.01,600.01,600.01,600.00,0.0
in/800.json,0.3339,0.0321,600.01,600.01,600.00,600.03,0.0
in/890.json,0.3646,0.0317,600.01,600.00,600.01,600.00,0.0
in/891.json,0.4623,0.0318,600.01,600.01,600.01,600.02,0.0
in/892.json,0.2816,0.0315,600.01,600.01,600.00,600.00,0.0
in/893.json,0.4583,0.0507,600.01,600.02,600.01,600.01,0.0
in/894.json,0.4245,0.0430,600.01,600.00,600.00,600.00,0.0
in/895.json,0.3633,0.0347,600.00,600.00,600.00,600.00,0.0
in/896.json,0.4288,0.0375,600.00,600.00,600.00,600.01,0.0
in/897.json,0.3791,0.0418,600.24,600.00,600.01,600.01,0.0
in/898.json,0.4255,0.0360,600.00,600.00,600.01,600.01,0.0
in/899.json,0.4753,0.0360,600.00,600.00,600.00,600.01,0.0
in/900.json,0.4845,0.0356,600.00,600.00,600.01,600.01,0.0
