Instancia,Construcao,Busca,Bins,Tempo(s),Tempo(s) da melhor solução,Iteracoes_Totais
in/1.json,FFF,first_improving,8,38.23,0.003349781036376953,10000
in/1.json,FFF,best_improving,8,71.60,0.0029990673065185547,10000
in/1.json,HFF,first_improving,8,42.64,0.006425142288208008,10000
in/1.json,HFF,best_improving,8,70.53,0.0069162845611572266,10000
in/3.json,FFF,first_improving,2,11.17,0.00099945068359375,10000
in/3.json,FFF,best_improving,2,11.24,0.0009999275207519531,10000
in/3.json,HFF,first_improving,2,3.26,0.0010004043579101562,10000
in/3.json,HFF,best_improving,2,3.66,0.0019023418426513672,10000
in/4.json,FFF,first_improving,2,18.94,0.0,10000
in/4.json,FFF,best_improving,2,18.66,0.0019998550415039062,10000
in/4.json,HFF,first_improving,2,6.95,0.0025916099548339844,10000
in/4.json,HFF,best_improving,2,10.48,0.004648447036743164,10000
in/6.json,FFF,first_improving,2,27.89,0.002927541732788086,10000
in/6.json,FFF,best_improving,2,27.26,0.003000020980834961,10000
in/6.json,HFF,first_improving,2,3.49,0.0010013580322265625,10000
in/6.json,HFF,best_improving,2,3.50,0.0009953975677490234,10000
in/7.json,FFF,first_improving,2,26.90,0.0029997825622558594,10000
in/7.json,FFF,best_improving,2,26.90,0.0019991397857666016,10000
in/7.json,HFF,first_improving,2,3.51,0.0010819435119628906,10000
in/7.json,HFF,best_improving,2,3.69,0.0010008811950683594,10000
in/10.json,FFF,first_improving,8,54.80,0.0019986629486083984,10000
in/10.json,FFF,best_improving,8,110.85,0.0029990673065185547,10000
in/10.json,HFF,first_improving,8,50.28,0.0070002079010009766,10000
in/10.json,HFF,best_improving,8,89.78,0.02396368980407715,10000
in/20.json,FFF,first_improving,11,251.63,31.064460277557373,10000
in/20.json,FFF,best_improving,11,546.52,10.60892939567566,10000
in/20.json,HFF,first_improving,12,223.66,0.015010833740234375,10000
in/20.json,HFF,best_improving,12,515.20,0.10321354866027832,10000
in/21.json,FFF,first_improving,2,600.00,0.42777442932128906,1240
in/21.json,FFF,best_improving,2,600.00,0.4083075523376465,1250
in/21.json,HFF,first_improving,2,130.31,1.7823700904846191,10000
in/21.json,HFF,best_improving,2,284.72,21.78653120994568,10000
in/40.json,FFF,first_improving,26,600.01,0.36429381370544434,5306
in/40.json,FFF,best_improving,26,600.00,0.5688698291778564,2297
in/40.json,HFF,first_improving,26,600.00,18.383207082748413,5028
in/40.json,HFF,best_improving,26,600.00,351.45587515830994,1882
in/60.json,FFF,first_improving,1,6.67,0.0015070438385009766,10000
in/60.json,FFF,best_improving,1,6.66,0.0,10000
in/60.json,HFF,first_improving,1,2.60,0.0301363468170166,10000
in/60.json,HFF,best_improving,1,2.75,0.029360055923461914,10000
in/70.json,FFF,first_improving,2,600.00,0.39974021911621094,1219
in/70.json,FFF,best_improving,2,600.00,0.4063990116119385,1201
in/70.json,HFF,first_improving,2,195.38,4.745169639587402,10000
in/70.json,HFF,best_improving,2,445.83,13.49836802482605,10000
in/100.json,FFF,first_improving,4,600.00,0.029129981994628906,8331
in/100.json,FFF,best_improving,4,600.00,0.029099464416503906,3889
in/100.json,HFF,first_improving,5,363.08,0.2600114345550537,10000
in/100.json,HFF,best_improving,5,600.00,1.1091971397399902,4076
in/140.json,FFF,first_improving,19,600.00,0.16295623779296875,2052
in/140.json,FFF,best_improving,19,600.00,0.642871618270874,911
in/140.json,HFF,first_improving,19,600.00,14.399229526519775,2411
in/140.json,HFF,best_improving,19,600.00,96.47782611846924,992
in/200.json,FFF,first_improving,4,600.01,0.30150508880615234,5395
in/200.json,FFF,best_improving,4,600.00,0.6908736228942871,1347
in/200.json,HFF,first_improving,5,513.50,0.93210768699646,10000
in/200.json,HFF,best_improving,5,600.00,2.1390609741210938,2783
in/250.json,FFF,first_improving,35,600.01,3.157484531402588,1007
in/250.json,FFF,best_improving,35,600.00,34.09369397163391,418
in/250.json,HFF,first_improving,36,600.00,2.6352198123931885,1052
in/250.json,HFF,best_improving,36,600.01,2.9318790435791016,385
in/490.json,FFF,first_improving,15,600.01,1.2845027446746826,2569
in/490.json,FFF,best_improving,15,600.01,2.523362874984741,883
in/490.json,HFF,first_improving,16,600.01,1.924055814743042,3656
in/490.json,HFF,best_improving,16,600.00,8.082408905029297,1203
in/491.json,FFF,first_improving,15,600.00,0.05513167381286621,2195
in/491.json,FFF,best_improving,15,600.00,0.10299801826477051,695
in/491.json,HFF,first_improving,16,600.00,11.868896245956421,3454
in/491.json,HFF,best_improving,16,600.02,33.309574365615845,1034
in/492.json,FFF,first_improving,16,600.00,0.09835624694824219,2191
in/492.json,FFF,best_improving,16,600.00,0.5186505317687988,720
in/492.json,HFF,first_improving,17,600.00,85.8114173412323,2974
in/492.json,HFF,best_improving,17,600.01,48.236907720565796,886
in/493.json,FFF,first_improving,17,600.01,0.34253358840942383,1296
in/493.json,FFF,best_improving,16,600.00,10.777230978012085,442
in/493.json,HFF,first_improving,17,600.01,115.40275597572327,2224
in/493.json,HFF,best_improving,17,600.00,80.53961062431335,653
in/494.json,FFF,first_improving,18,600.00,0.26429319381713867,1297
in/494.json,FFF,best_improving,18,600.00,0.8808228969573975,431
in/494.json,HFF,first_improving,19,600.00,1.51814603805542,1667
in/494.json,HFF,best_improving,19,600.00,1.1445343494415283,509
in/495.json,FFF,first_improving,18,600.00,441.43825936317444,1064
in/495.json,FFF,best_improving,18,600.00,43.804245471954346,383
in/495.json,HFF,first_improving,19,600.00,52.017189741134644,1592
in/495.json,HFF,best_improving,19,600.00,63.70944309234619,520
in/496.json,FFF,first_improving,14,600.00,0.19129610061645508,1847
in/496.json,FFF,best_improving,14,600.00,0.2527647018432617,641
in/496.json,HFF,first_improving,15,600.00,12.148563623428345,2970
in/496.json,HFF,best_improving,14,600.00,556.1137382984161,957
in/497.json,FFF,first_improving,14,600.00,1.1728394031524658,1683
in/497.json,FFF,best_improving,14,600.00,96.02385997772217,511
in/497.json,HFF,first_improving,15,600.00,39.11798095703125,2816
in/497.json,HFF,best_improving,15,600.01,50.25654983520508,815
in/498.json,FFF,first_improving,19,600.00,0.35672497749328613,1096
in/498.json,FFF,best_improving,19,600.00,0.9830784797668457,401
in/498.json,HFF,first_improving,20,600.00,6.219067573547363,1703
in/498.json,HFF,best_improving,20,600.00,18.51251244544983,578
in/499.json,FFF,first_improving,17,600.00,8.024699211120605,1401
in/499.json,FFF,best_improving,17,600.00,0.5933432579040527,443
in/499.json,HFF,first_improving,17,600.00,91.74868321418762,1986
in/499.json,HFF,best_improving,18,600.00,37.67308759689331,618
in/500.json,FFF,first_improving,16,600.00,0.43579840660095215,1970
in/500.json,FFF,best_improving,16,600.00,0.4575843811035156,703
in/500.json,HFF,first_improving,17,600.00,15.295353889465332,2714
in/500.json,HFF,best_improving,17,600.00,7.241923809051514,880
in/650.json,FFF,first_improving,115,600.00,42.57772135734558,15
in/650.json,FFF,best_improving,115,600.01,256.0378918647766,3
in/650.json,HFF,first_improving,232,600.00,119.19945812225342,5
in/650.json,HFF,best_improving,251,600.02,600.021467924118,1
in/700.json,FFF,first_improving,110,600.02,303.2519381046295,2
in/700.json,FFF,best_improving,109,600.01,321.6294114589691,2
in/700.json,HFF,first_improving,170,600.01,600.0148746967316,2
in/700.json,HFF,best_improving,195,600.04,600.0394492149353,1
in/701.json,FFF,first_improving,107,600.01,306.56983160972595,2
in/701.json,FFF,best_improving,107,600.01,323.5387544631958,2
in/701.json,HFF,first_improving,154,600.01,600.0083060264587,1
in/701.json,HFF,best_improving,176,600.03,600.0296678543091,1
in/702.json,FFF,first_improving,108,600.01,318.5459260940552,2
in/702.json,FFF,best_improving,108,600.01,276.43814730644226,3
in/702.json,HFF,first_improving,163,600.01,600.0059199333191,1
in/702.json,HFF,best_improving,204,600.01,600.0061404705048,1
in/703.json,FFF,first_improving,110,600.02,44.34953594207764,9
in/703.json,FFF,best_improving,110,600.01,198.23677730560303,3
in/703.json,HFF,first_improving,180,600.03,600.0277042388916,1
in/703.json,HFF,best_improving,198,600.01,600.010036945343,1
in/704.json,FFF,first_improving,110,600.00,110.38591861724854,7
in/704.json,FFF,best_improving,110,600.01,600.0081386566162,1
in/704.json,HFF,first_improving,180,600.01,278.1486563682556,3
in/704.json,HFF,best_improving,194,600.01,600.0078372955322,1
in/705.json,FFF,first_improving,108,600.09,39.26154637336731,16
in/705.json,FFF,best_improving,108,600.01,47.97669053077698,11
in/705.json,HFF,first_improving,174,600.01,600.0079362392426,2
in/705.json,HFF,best_improving,199,600.01,600.0121021270752,1
in/706.json,FFF,first_improving,108,600.00,216.2642846107483,6
in/706.json,FFF,best_improving,108,600.00,211.16006112098694,6
in/706.json,HFF,first_improving,172,600.02,600.0027704238892,1
in/706.json,HFF,best_improving,192,600.02,600.0235409736633,1
in/707.json,FFF,first_improving,110,600.00,244.73945021629333,11
in/707.json,FFF,best_improving,110,600.01,600.005744934082,4
in/707.json,HFF,first_improving,169,600.00,562.3782997131348,3
in/707.json,HFF,best_improving,189,600.01,600.0083446502686,1
in/708.json,FFF,first_improving,107,600.00,446.35719084739685,8
in/708.json,FFF,best_improving,107,600.00,474.61288475990295,7
in/708.json,HFF,first_improving,143,600.01,478.7710373401642,3
in/708.json,HFF,best_improving,206,600.01,600.011239528656,1
in/709.json,FFF,first_improving,112,600.01,49.37698745727539,10
in/709.json,FFF,best_improving,112,600.01,192.0810878276825,4
in/709.json,HFF,first_improving,181,600.01,489.88077449798584,10
in/709.json,HFF,best_improving,191,600.00,600.0025246143341,1
in/800.json,FFF,first_improving,107,600.01,39.30629897117615,16
in/800.json,FFF,best_improving,107,600.00,28.200571537017822,12
in/800.json,HFF,first_improving,164,600.01,325.91386914253235,2
in/800.json,HFF,best_improving,199,600.03,600.0293850898743,1
in/890.json,FFF,first_improving,106,600.01,26.46004366874695,14
in/890.json,FFF,best_improving,106,600.01,45.57317924499512,10
in/890.json,HFF,first_improving,171,600.00,377.4381914138794,2
in/890.json,HFF,best_improving,204,600.00,600.000551700592,1
in/891.json,FFF,first_improving,106,600.01,129.11260795593262,13
in/891.json,FFF,best_improving,106,600.01,194.11151027679443,6
in/891.json,HFF,first_improving,178,600.01,600.0147926807404,2
in/891.json,HFF,best_improving,204,600.02,600.0240263938904,1
in/892.json,FFF,first_improving,105,600.01,236.60217332839966,14
in/892.json,FFF,best_improving,105,600.00,406.08345317840576,8
in/892.json,HFF,first_improving,174,600.01,598.345050573349,3
in/892.json,HFF,best_improving,200,600.00,600.0008618831635,1
in/893.json,FFF,first_improving,106,600.01,39.513447523117065,12
in/893.json,FFF,best_improving,106,600.01,109.38843274116516,6
in/893.json,HFF,first_improving,173,600.02,484.41790318489075,2
in/893.json,HFF,best_improving,206,600.01,600.0149848461151,1
in/894.json,FFF,first_improving,106,600.01,181.78785586357117,13
in/894.json,FFF,best_improving,106,600.00,378.965384721756,7
in/894.json,HFF,first_improving,174,600.00,421.4301950931549,2
in/894.json,HFF,best_improving,205,600.00,600.0037424564362,1
in/895.json,FFF,first_improving,105,600.00,132.68566346168518,9
in/895.json,FFF,best_improving,105,600.00,555.060958147049,7
in/895.json,HFF,first_improving,175,600.00,323.48976612091064,2
in/895.json,HFF,best_improving,203,600.00,600.003648519516,1
in/896.json,FFF,first_improving,107,600.00,46.22903895378113,11
in/896.json,FFF,best_improving,107,600.00,72.90753674507141,7
in/896.json,HFF,first_improving,176,600.00,585.6668350696564,2
in/896.json,HFF,best_improving,207,600.01,600.0081839561462,1
in/897.json,FFF,first_improving,106,600.24,61.0572075843811,15
in/897.json,FFF,best_improving,106,600.01,118.9291319847107,7
in/897.json,HFF,first_improving,174,600.00,567.1610646247864,3
in/897.json,HFF,best_improving,202,600.01,600.009548664093,1
in/898.json,FFF,first_improving,106,600.00,154.7179856300354,13
in/898.json,FFF,best_improving,106,600.01,462.44465589523315,5
in/898.json,HFF,first_improving,177,600.00,600.0018990039825,2
in/898.json,HFF,best_improving,202,600.01,600.0099849700928,1
in/899.json,FFF,first_improving,105,600.00,324.9913258552551,17
in/899.json,FFF,best_improving,105,600.00,600.0029735565186,9
in/899.json,HFF,first_improving,173,600.00,600.0018336772919,2
in/899.json,HFF,best_improving,207,600.01,600.0061974525452,1
in/900.json,FFF,first_improving,106,600.00,120.6339852809906,11
in/900.json,FFF,best_improving,106,600.01,273.85249161720276,8
in/900.json,HFF,first_improving,181,600.00,600.0003843307495,2
in/900.json,HFF,best_improving,206,600.01,600.0145196914673,1
