Instancia,Metodo,Bins,Tempo(s)
in/1.json,FFF,8,0.0000
in/1.json,HFF,9,0.0000
in/10.json,FFF,8,0.0010
in/10.json,HFF,10,0.0000
in/20.json,FFF,12,0.0000
in/20.json,HFF,17,0.0000
in/21.json,FFF,2,0.0481
in/21.json,HFF,4,0.0000
in/40.json,FFF,27,0.0000
in/40.json,HFF,35,0.0000
in/60.json,FFF,1,0.0000
in/60.json,HFF,2,0.0000
in/70.json,FFF,2,0.0558
in/70.json,HFF,4,0.0010
in/100.json,FFF,4,0.0030
in/100.json,HFF,7,0.0000
in/140.json,FFF,20,0.0000
in/140.json,HFF,28,0.0010
in/200.json,FFF,5,0.0024
in/200.json,HFF,7,0.0000
in/250.json,FFF,37,0.0000
in/250.json,HFF,46,0.0010
in/500.json,FFF,16,0.0010
in/500.json,HFF,23,0.0000
in/650.json,FFF,114,1.1950
in/650.json,HFF,243,0.0570
in/800.json,FFF,104,0.3160
in/800.json,HFF,206,0.0340
in/900.json,FFF,103,0.4592
in/900.json,HFF,208,0.0340
