Instancia,Lower_Bound_Area(L1)
in/1.json,7
in/3.json,1
in/4.json,1
in/5.json,3
in/6.json,1
in/7.json,1
in/10.json,7
in/20.json,11
in/21.json,1
in/40.json,25
in/60.json,1
in/70.json,1
in/100.json,4
in/140.json,17
in/200.json,4
in/250.json,30
in/490.json,14
in/491.json,14
in/492.json,15
in/493.json,15
in/494.json,17
in/495.json,17
in/496.json,13
in/497.json,13
in/498.json,18
in/499.json,16
in/500.json,15
in/650.json,100
in/700.json,100
in/701.json,100
in/702.json,100
in/703.json,100
in/704.json,100
in/705.json,100
in/706.json,100
in/707.json,100
in/708.json,100
in/709.json,100
in/800.json,100
in/890.json,100
in/891.json,100
in/892.json,100
in/893.json,100
in/894.json,100
in/895.json,100
in/896.json,100
in/897.json,100
in/898.json,100
in/899.json,100
in/900.json,100
